id_venda,data_venda,cliente,genero,produto,preco,quantidade,total,tempo_entrega,cidade
1,2023/09/18,Carlos Lima,F,Cadeira,R$3500,3,10500,132m,Belo Horizonte
2,2023-05-15, João Silva ,Feminino,Monitor,"R$ 50,00",3,3600,,Porto Alegre
3,2023-09-23,,F,Mouse,120,2,7000,1h 54m,Rio de Janeiro
4,22-09-2024, João Silva ,MASCULINO,Notebook,"R$ 1.200,00",2,7000,,Curitiba
5,2023-02-16, Pedro Alves ,F,Teclado,R$3500,3,10500,2h 27m,Curitiba
6,23/02/24, João Silva ,M,Monitor,50,3,,150m,Porto Alegre
7,20-06-2023,Carlos Lima,f,Teclado,3500,1,800,2h 42m,Belo Horizonte
8,2024-02-10,Maria Souza,Feminino,Teclado,"R$ 50,00",2,,0h 7m,Rio de Janeiro
9,12/12/24,Maria Souza,M,Cadeira,"R$ 3.500,00",3,,127m,Belo Horizonte
10,02-11-2024,,Masculino,Teclado,R$800,1,800,110m,Porto Alegre
11,2024-08-02, João Silva ,MASCULINO,Cadeira,50,3,150,,São Paulo
12,2023-05-06, João Silva ,Masculino,Monitor,R$120,1,800,,Belo Horizonte
13,24/10/24, João Silva ,f,Notebook,"R$ 1.200,00",1,,83m,Curitiba
14,11/02/24,,Masculino,Cadeira,"R$ 1.200,00",2,1600,,Porto Alegre
15,2024-04-27, João Silva ,M,Monitor,"R$ 1.200,00",2,240,150m,Rio de Janeiro
16,11/12/24, Pedro Alves ,MASCULINO,Notebook,120,2,2400,105m,Porto Alegre
17,2023/04/26, Pedro Alves ,Feminino,Cadeira,R$120,3,10489,20m,Belo Horizonte
18,16-09-2024,Ana Clara,F,Notebook,R$50,3,2400,0:12:37,Porto Alegre
19,2023-09-23,Carlos Lima,f,Mouse,"R$ 800,00",2,2400,,Porto Alegre
20,2024/08/10,Maria Souza,MASCULINO,Mouse,"R$ 3.500,00",3,3600,2h 55m,Rio de Janeiro
21,13-09-2023,Carlos Lima,M,Monitor,R$50,3,150,90m,Curitiba
22,2024/10/20,,M,Mouse,800,3,3600,,Rio de Janeiro
23,10/10/24, Pedro Alves ,Masculino,Notebook,1200,1,3500,,Porto Alegre
24,2024/05/24,,M,Monitor,R$1200,3,3600,,São Paulo
25,17/06/24,Ana Clara,m,Teclado,"R$ 120,00",1,,,Rio de Janeiro
26,20/01/24,,Masculino,Monitor,R$1200,2,7000,2:43:09,Porto Alegre
27,23/09/23,,Feminino,Cadeira,"R$ 50,00",2,240,123m,Porto Alegre
28,10/10/24,Carlos Lima,Masculino,Cadeira,"R$ 3.500,00",3,10500,0:44:44,Curitiba
29,2024/03/05,Carlos Lima,F,Cadeira,"R$ 120,00",1,,,Rio de Janeiro
30,2023/02/26, Pedro Alves ,Feminino,Cadeira,800,2,240,81m,Rio de Janeiro
31,2024/09/05,Carlos Lima,f,Cadeira,"R$ 1.200,00",2,,,São Paulo
32,2024-09-18, João Silva ,Feminino,Monitor,"R$ 1.200,00",3,,,Rio de Janeiro
33,26-08-2024, João Silva ,m,Teclado,R$50,3,150,,São Paulo
34,2023-07-13,Maria Souza,MASCULINO,Monitor,R$800,2,,0:26:47,Curitiba
35,11/07/24, João Silva ,M,Monitor,R$800,2,2400,175m,Porto Alegre
36,2024-02-12,,M,Cadeira,3500,2,2400,,Rio de Janeiro
37,2024/01/27,Maria Souza,F,Mouse,3500,1,120,1h 43m,Belo Horizonte
38,2024-05-04,,M,Notebook,R$1200,1,1200,29m,Rio de Janeiro
39,2024-06-23,Maria Souza,F,Teclado,R$800,3,150,3h 40m,Belo Horizonte
40,2024/06/16, Pedro Alves ,m,Cadeira,3500,1,3548,3h 52m,Belo Horizonte
41,2023-06-07, João Silva ,Masculino,Teclado,R$1200,1,120,0h 15m,Curitiba
42,14/09/23,Maria Souza,f,Cadeira,3500,2,54,3h 20m,São Paulo
43,2024/05/12, Pedro Alves ,F,Mouse,3500,2,100,,Belo Horizonte
44,18-10-2023,,f,Mouse,"R$ 3.500,00",2,124,3h 19m,São Paulo
45,23/06/24, João Silva ,f,Notebook,"R$ 50,00",2,,1:28:22,Rio de Janeiro
46,2024/08/12,Maria Souza,m,Monitor,"R$ 1.200,00",2,1586,3h 42m,São Paulo
47,2024/01/16, Pedro Alves ,Feminino,Monitor,R$3500,2,1600,1h 51m,Belo Horizonte
48,16-05-2023, João Silva ,MASCULINO,Monitor,50,1,50,3h 49m,Belo Horizonte
49,2024/11/05,,F,Notebook,"R$ 1.200,00",2,,,Porto Alegre
50,2024-01-24,Ana Clara,M,Notebook,R$120,1,800,1h 10m,Rio de Janeiro
51,2023/01/17,,MASCULINO,Monitor,50,3,360,2:00:22,Rio de Janeiro
52,27/03/24,Ana Clara,,Mouse,"R$ 3.500,00",2,2355,,Rio de Janeiro
53,26/01/23,Ana Clara,Masculino,Mouse,R$50,3,2400,1:53:20,Rio de Janeiro
54,2024/07/07,Maria Souza,F,Monitor,R$3500,2,,1h 52m,Curitiba
55,21/09/24, Pedro Alves ,Masculino,Monitor,3500,2,,180m,Rio de Janeiro
56,2024-08-18, Pedro Alves ,m,Teclado,120,2,7000,3h 42m,Belo Horizonte
57,03/04/23,Ana Clara,f,Mouse,"R$ 3.500,00",3,3600,0h 43m,Rio de Janeiro
58,2023/08/23,Ana Clara,,Teclado,R$120,2,,2h 56m,Belo Horizonte
59,01-10-2023,Maria Souza,f,Monitor,R$3500,2,,,Belo Horizonte
60,06/01/24,Ana Clara,Masculino,Cadeira,120,1,840,1h 1m,Porto Alegre
61,12/02/23, João Silva ,F,Teclado,"R$ 120,00",1,120,1h 22m,Belo Horizonte
62,2023-05-02,Ana Clara,Feminino,Mouse,"R$ 1.200,00",1,800,1:12:29,São Paulo
63,2023/02/09, João Silva ,f,Mouse,"R$ 120,00",1,50,0:59:29,Porto Alegre
64,2024/09/18,Ana Clara,Feminino,Cadeira,120,2,7000,2:56:53,Curitiba
65,2023/09/12,,Feminino,Mouse,1200,2,1600,1h 52m,Curitiba
66,2023-05-21,Maria Souza,MASCULINO,Mouse,800,3,,,Porto Alegre
67,2023/10/14,,Feminino,Mouse,"R$ 50,00",3,,,Belo Horizonte
68,2023-10-23, João Silva ,M,Teclado,800,2,1581,3h 10m,Rio de Janeiro
69,2023-12-22, Pedro Alves ,MASCULINO,Mouse,R$1200,2,2400,66m,Curitiba
70,09-11-2024,Maria Souza,,Teclado,R$1200,2,65,3h 9m,São Paulo
71,28-07-2024, João Silva ,Masculino,Cadeira,800,1,120,1h 3m,Belo Horizonte
72,28/12/23, Pedro Alves ,f,Mouse,"R$ 1.200,00",2,2400,25m,Curitiba
73,19/05/23,,Masculino,Mouse,R$3500,1,82,46m,Belo Horizonte
74,2024/10/22,,Feminino,Mouse,"R$ 120,00",3,325,,São Paulo
75,18/05/24,,Masculino,Cadeira,"R$ 1.200,00",2,,,Rio de Janeiro
76,2023/04/20,Carlos Lima,Masculino,Notebook,R$50,2,7000,1h 31m,São Paulo
77,2023/06/21,Carlos Lima,M,Notebook,R$800,2,100,,São Paulo
78,17-08-2024, João Silva ,MASCULINO,Cadeira,"R$ 800,00",3,10500,2:50:20,Curitiba
79,07/03/24,,MASCULINO,Notebook,R$120,3,,1:51:08,Belo Horizonte
80,2024/04/20, João Silva ,Masculino,Teclado,"R$ 800,00",2,202,0h 12m,Porto Alegre
81,08/03/23, Pedro Alves ,,Notebook,"R$ 3.500,00",2,281,2h 10m,Rio de Janeiro
82,2023/04/21,,f,Mouse,50,3,360,,Belo Horizonte
83,2023-09-22,Carlos Lima,m,Notebook,R$800,3,360,,Porto Alegre
84,2024/06/21,Ana Clara,Masculino,Notebook,R$1200,1,1200,88m,São Paulo
85,13/03/23, João Silva ,M,Teclado,50,3,150,,Curitiba
86,2024/02/23,Maria Souza,MASCULINO,Notebook,R$120,1,,2h 0m,Belo Horizonte
87,12/04/24, Pedro Alves ,m,Cadeira,50,2,2351,38m,Rio de Janeiro
88,02-11-2024,Carlos Lima,f,Monitor,"R$ 3.500,00",3,360,40m,Belo Horizonte
89,2024-01-03,Ana Clara,F,Mouse,R$120,1,1200,2:05:50,Rio de Janeiro
90,2023/08/11,Carlos Lima,Feminino,Monitor,R$3500,1,1200,78m,São Paulo
91,27/05/23, João Silva ,F,Teclado,800,2,,,São Paulo
92,2023/04/15, Pedro Alves ,Feminino,Cadeira,R$50,2,7021,,Belo Horizonte
93,05-12-2023, Pedro Alves ,,Monitor,"R$ 3.500,00",1,50,,São Paulo
94,21-01-2023,,m,Notebook,50,2,1579,2:29:24,Curitiba
95,2023/10/23, João Silva ,,Notebook,"R$ 3.500,00",3,2400,0:21:43,Porto Alegre
96,2024/02/13, Pedro Alves ,m,Mouse,"R$ 120,00",2,240,,Belo Horizonte
97,23/07/24, Pedro Alves ,,Cadeira,"R$ 1.200,00",1,133,,Rio de Janeiro
98,17/05/23,Carlos Lima,F,Mouse,R$800,2,2400,,Porto Alegre
