cliente,data_venda,genero,produto,preco,quantidade,total,tempo_entrega,cidade
Carlos lima,2023-09-18,,Cadeira,3500.0,1,10500,,Belo horizonte
João silva,2023-05-15,,Monitor,50.0,0,3600,,Porto alegre
João silva,2023-09-23,,Mouse,120.0,2,7000,0:01:54,Rio de janeiro
João silva,2024-09-22,Masculino,Notebook,1200.0,0,7000,,Curitiba
Pedro alves,2023-02-16,,Teclado,3500.0,2,10500,0:02:27,Curitiba
João silva,0024-02-23,Masculino,Monitor,50.0,1,,,Porto alegre
Carlos lima,2023-06-20,,Teclado,3500.0,2,800,0:02:42,Belo horizonte
Maria souza,2024-02-10,,Teclado,50.0,2,,0:00:07,Rio de janeiro
Maria souza,0024-12-12,Masculino,Cadeira,3500.0,1,,,Belo horizonte
Maria souza,2024-11-02,Masculino,Teclado,800.0,1,800,,Porto alegre
João silva,2024-08-02,Masculino,Cadeira,50.0,0,150,,São paulo
João silva,2023-05-06,Masculino,Monitor,120.0,0,800,,Belo horizonte
João silva,0024-10-24,,Notebook,1200.0,1,,,Curitiba
João silva,0024-02-11,Masculino,Cadeira,1200.0,0,1600,,Porto alegre
João silva,2024-04-27,Masculino,Monitor,1200.0,1,240,,Rio de janeiro
Pedro alves,0024-12-11,Masculino,Notebook,120.0,1,2400,,Porto alegre
Pedro alves,2023-04-26,,Cadeira,120.0,1,10489,,Belo horizonte
Ana clara,2024-09-16,,Notebook,50.0,3,2400,00:12:37,Porto alegre
Carlos lima,2023-09-23,,Mouse,800.0,0,2400,,Porto alegre
Maria souza,2024-08-10,Masculino,Mouse,3500.0,2,3600,0:02:55,Rio de janeiro
Carlos lima,2023-09-13,Masculino,Monitor,50.0,1,150,,Curitiba
Carlos lima,2024-10-20,Masculino,Mouse,800.0,0,3600,,Rio de janeiro
Pedro alves,0024-10-10,Masculino,Notebook,1200.0,0,3500,,Porto alegre
Pedro alves,2024-05-24,Masculino,Monitor,1200.0,0,3600,,São paulo
Ana clara,0024-06-17,Masculino,Teclado,120.0,0,,,Rio de janeiro
Ana clara,0024-01-20,Masculino,Monitor,1200.0,3,7000,02:43:09,Porto alegre
Ana clara,0023-09-23,,Cadeira,50.0,1,240,,Porto alegre
Carlos lima,0024-10-10,Masculino,Cadeira,3500.0,3,10500,00:44:44,Curitiba
Carlos lima,2024-03-05,,Cadeira,120.0,0,,,Rio de janeiro
Pedro alves,2023-02-26,,Cadeira,800.0,1,240,,Rio de janeiro
Carlos lima,2024-09-05,,Cadeira,1200.0,0,,,São paulo
João silva,2024-09-18,,Monitor,1200.0,0,,,Rio de janeiro
João silva,2024-08-26,Masculino,Teclado,50.0,0,150,,São paulo
Maria souza,2023-07-13,Masculino,Monitor,800.0,3,,00:26:47,Curitiba
João silva,0024-07-11,Masculino,Monitor,800.0,1,2400,,Porto alegre
João silva,2024-02-12,Masculino,Cadeira,3500.0,0,2400,,Rio de janeiro
Maria souza,2024-01-27,,Mouse,3500.0,2,120,0:01:43,Belo horizonte
Maria souza,2024-05-04,Masculino,Notebook,1200.0,1,1200,,Rio de janeiro
Maria souza,2024-06-23,,Teclado,800.0,2,150,0:03:40,Belo horizonte
Pedro alves,2024-06-16,Masculino,Cadeira,3500.0,2,3548,0:03:52,Belo horizonte
João silva,2023-06-07,Masculino,Teclado,1200.0,2,120,0:00:15,Curitiba
Maria souza,0023-09-14,,Cadeira,3500.0,2,54,0:03:20,São paulo
Pedro alves,2024-05-12,,Mouse,3500.0,0,100,,Belo horizonte
Pedro alves,2023-10-18,,Mouse,3500.0,2,124,0:03:19,São paulo
João silva,0024-06-23,,Notebook,50.0,3,,01:28:22,Rio de janeiro
Maria souza,2024-08-12,Masculino,Monitor,1200.0,2,1586,0:03:42,São paulo
Pedro alves,2024-01-16,,Monitor,3500.0,2,1600,0:01:51,Belo horizonte
João silva,2023-05-16,Masculino,Monitor,50.0,2,50,0:03:49,Belo horizonte
João silva,2024-11-05,,Notebook,1200.0,0,,,Porto alegre
Ana clara,2024-01-24,Masculino,Notebook,120.0,2,800,0:01:10,Rio de janeiro
Ana clara,2023-01-17,Masculino,Monitor,50.0,3,360,02:00:22,Rio de janeiro
Ana clara,0024-03-27,,Mouse,3500.0,0,2355,,Rio de janeiro
Ana clara,0023-01-26,Masculino,Mouse,50.0,3,2400,01:53:20,Rio de janeiro
Maria souza,2024-07-07,,Monitor,3500.0,2,,0:01:52,Curitiba
Pedro alves,0024-09-21,Masculino,Monitor,3500.0,1,,,Rio de janeiro
Pedro alves,2024-08-18,Masculino,Teclado,120.0,2,7000,0:03:42,Belo horizonte
Ana clara,0023-04-03,,Mouse,3500.0,2,3600,0:00:43,Rio de janeiro
Ana clara,2023-08-23,,Teclado,120.0,2,,0:02:56,Belo horizonte
Maria souza,2023-10-01,,Monitor,3500.0,0,,,Belo horizonte
Ana clara,0024-01-06,Masculino,Cadeira,120.0,2,840,0:01:01,Porto alegre
João silva,0023-02-12,,Teclado,120.0,2,120,0:01:22,Belo horizonte
Ana clara,2023-05-02,,Mouse,1200.0,3,800,01:12:29,São paulo
João silva,2023-02-09,,Mouse,120.0,3,50,00:59:29,Porto alegre
Ana clara,2024-09-18,,Cadeira,120.0,3,7000,02:56:53,Curitiba
Ana clara,2023-09-12,,Mouse,1200.0,2,1600,0:01:52,Curitiba
Maria souza,2023-05-21,Masculino,Mouse,800.0,0,,,Porto alegre
Maria souza,2023-10-14,,Mouse,50.0,0,,,Belo horizonte
João silva,2023-10-23,Masculino,Teclado,800.0,2,1581,0:03:10,Rio de janeiro
Pedro alves,2023-12-22,Masculino,Mouse,1200.0,1,2400,,Curitiba
Maria souza,2024-11-09,,Teclado,1200.0,2,65,0:03:09,São paulo
João silva,2024-07-28,Masculino,Cadeira,800.0,2,120,0:01:03,Belo horizonte
Pedro alves,0023-12-28,,Mouse,1200.0,1,2400,,Curitiba
Pedro alves,0023-05-19,Masculino,Mouse,3500.0,1,82,,Belo horizonte
Pedro alves,2024-10-22,,Mouse,120.0,0,325,,São paulo
Pedro alves,0024-05-18,Masculino,Cadeira,1200.0,0,,,Rio de janeiro
Carlos lima,2023-04-20,Masculino,Notebook,50.0,2,7000,0:01:31,São paulo
Carlos lima,2023-06-21,Masculino,Notebook,800.0,0,100,,São paulo
João silva,2024-08-17,Masculino,Cadeira,800.0,3,10500,02:50:20,Curitiba
João silva,0024-03-07,Masculino,Notebook,120.0,3,,01:51:08,Belo horizonte
João silva,2024-04-20,Masculino,Teclado,800.0,2,202,0:00:12,Porto alegre
Pedro alves,0023-03-08,,Notebook,3500.0,2,281,0:02:10,Rio de janeiro
Pedro alves,2023-04-21,,Mouse,50.0,0,360,,Belo horizonte
Carlos lima,2023-09-22,Masculino,Notebook,800.0,0,360,,Porto alegre
Ana clara,2024-06-21,Masculino,Notebook,1200.0,1,1200,,São paulo
João silva,0023-03-13,Masculino,Teclado,50.0,0,150,,Curitiba
Maria souza,2024-02-23,Masculino,Notebook,120.0,2,,0:02:00,Belo horizonte
Pedro alves,0024-04-12,Masculino,Cadeira,50.0,1,2351,,Rio de janeiro
Carlos lima,2024-11-02,,Monitor,3500.0,1,360,,Belo horizonte
Ana clara,2024-01-03,,Mouse,120.0,3,1200,02:05:50,Rio de janeiro
Carlos lima,2023-08-11,,Monitor,3500.0,1,1200,,São paulo
João silva,0023-05-27,,Teclado,800.0,0,,,São paulo
Pedro alves,2023-04-15,,Cadeira,50.0,0,7021,,Belo horizonte
Pedro alves,2023-12-05,,Monitor,3500.0,0,50,,São paulo
Pedro alves,2023-01-21,Masculino,Notebook,50.0,3,1579,02:29:24,Curitiba
João silva,2023-10-23,,Notebook,3500.0,3,2400,00:21:43,Porto alegre
Pedro alves,2024-02-13,Masculino,Mouse,120.0,0,240,,Belo horizonte
Pedro alves,0024-07-23,,Cadeira,1200.0,0,133,,Rio de janeiro
Carlos lima,0023-05-17,,Mouse,800.0,0,2400,,Porto alegre
Pedro alves,2023-05-01,Masculino,Teclado,3500.0,2,50,0:03:44,Belo horizonte
Maria souza,2024-10-13,Masculino,Monitor,1200.0,2,240,0:03:20,Rio de janeiro
Maria souza,0023-04-02,Masculino,Teclado,800.0,1,2449,,Porto alegre
Pedro alves,2024-09-02,Masculino,Notebook,1200.0,1,,,Porto alegre
Ana clara,2024-03-06,,Monitor,1200.0,3,2418,00:15:12,Curitiba
Carlos lima,2023-06-19,,Monitor,120.0,2,,0:03:57,Curitiba
Carlos lima,0024-03-22,Masculino,Mouse,120.0,1,,,Rio de janeiro
João silva,2024-11-05,Masculino,Monitor,3500.0,0,100,,Rio de janeiro
Ana clara,2024-12-08,,Monitor,800.0,3,120,02:12:12,Rio de janeiro
Maria souza,2024-07-07,Masculino,Teclado,120.0,3,,01:28:20,Curitiba
Carlos lima,2024-10-10,,Teclado,50.0,1,,,Curitiba
Ana clara,0024-10-01,Masculino,Cadeira,800.0,2,,0:02:09,São paulo
Ana clara,2023-04-21,Masculino,Cadeira,50.0,0,100,,Rio de janeiro
João silva,0023-09-24,,Teclado,120.0,1,750,,São paulo
Pedro alves,0024-04-16,Masculino,Monitor,50.0,3,360,00:22:50,Belo horizonte
Pedro alves,2024-12-10,Masculino,Cadeira,3500.0,0,1600,,Belo horizonte
Pedro alves,2023-05-17,Masculino,Mouse,1200.0,0,150,,Curitiba
Maria souza,2024-09-26,Masculino,Cadeira,50.0,3,10500,02:48:17,Porto alegre
Maria souza,0023-06-24,Masculino,Cadeira,3500.0,1,7000,,Curitiba
Maria souza,2024-01-28,,Monitor,120.0,1,1600,,São paulo
Maria souza,2023-06-07,Masculino,Monitor,50.0,0,150,,Belo horizonte
Maria souza,2023-04-21,Masculino,Teclado,120.0,0,50,,Porto alegre
Ana clara,2024-11-04,Masculino,Cadeira,3500.0,2,1600,0:00:44,Porto alegre
João silva,2024-03-21,Masculino,Notebook,120.0,0,10469,,Rio de janeiro
Carlos lima,2024-12-21,Masculino,Notebook,120.0,3,,02:42:09,São paulo
Pedro alves,2024-12-23,Masculino,Monitor,120.0,2,271,0:03:16,São paulo
Pedro alves,0024-11-08,,Teclado,800.0,0,2400,,Curitiba
Pedro alves,2024-04-11,Masculino,Notebook,120.0,2,2420,0:00:57,Rio de janeiro
Pedro alves,2024-06-01,,Teclado,800.0,2,240,0:00:45,Rio de janeiro
Carlos lima,2024-08-20,Masculino,Teclado,50.0,0,120,,Curitiba
Pedro alves,2023-08-19,Masculino,Mouse,800.0,0,3600,,Rio de janeiro
Maria souza,2024-10-19,Masculino,Monitor,50.0,0,120,,Porto alegre
Pedro alves,2023-08-21,Masculino,Notebook,1200.0,1,150,,Rio de janeiro
Carlos lima,2023-04-04,,Monitor,50.0,0,2440,,Rio de janeiro
Maria souza,2023-07-16,,Monitor,3500.0,2,10466,0:02:47,Curitiba
Maria souza,0024-07-23,,Teclado,800.0,1,240,,Belo horizonte
Ana clara,0023-06-01,,Cadeira,120.0,1,1200,,Belo horizonte
